Latitude,Longitude,Site,Location,Country,Period,Lab Number,C14Age,C14SD,Material,Curve
43.43,3.9,Grotte de Camprafaud,Europe,France,LBK,Gif-3078,6480,130,charcoal,intcal13
45.25,14.23,Grotta Podosojna,Europe,Croatia,Neolithic,Z-198,6470,95,charcoal,intcal13
40.0667,18.4833,Porto Badisco,Europe,Italy,Cardial,F-97,6465,185,charcoal,intcal13
46.2,20.18,Oszentivan,Europe,Hungary,Early Vinca,Bln-479,6460,80,charcoal,intcal13
43.51,3.28,Source de Reselauze,Europe,France,Cardial,MC-1227,6450,100,charcoal,intcal13
44.26,4.43,Baume de Montclus,Europe,France,Cardial,MC-695,6450,100,charcoal,intcal13
50.1,19.83,Olszanica,Europe,Poland,LBK,GrN-5384,6430,75,charcoal,intcal13
51.52,10.27,Duderstadt,Europe,Germany,LBK,H-919/889,6422,100,Charcoal,intcal13
44.1167,8.0333,Arma di Nasino,Europe,Italy,Cardial,R-313,6420,65,charcoal,intcal13
50.55,5.88,Coron Maton,Europe,Belgium,LBK,Gif-5257,6420,120,charcoal,intcal13
50.66,13.95,Chabarovice,Europe,Czech Republic,Early LBK,Bln-438,6400,120,charcoal,intcal13
48.8,9.07,Gerlingen,Europe,Germany,LBK,KN-2295,6390,160,Charcoal,intcal13
51.96,5.75,Geleen,Europe,Netherlands,LBK,GrN-995,6370,60,charcoal,intcal13
31.8,35.6,Ghassul,Near East,Jordan,Pottery Neolithic,SUA-734,6370,105,charcoal,intcal13
40.95,25.46,Proskinites,Europe,Greece,Neolithic,DEM-23,6368,63,Charcoal,intcal13
30.67,35.467,Feinan,Near East,Jordan,Pottery Neolithic,HD-12335,6360,45,charcoal,intcal13
46.91,2.48,Saint Germain des Bois,Europe,France,Neolithic,Ly-4566,6360,80,charcoal,intcal13
43.31,2.41,Grotte de Gazel,Europe,France,Epicardial,GrN-6707,6350,55,charcoal,intcal13
51.51,9.93,Rosdorf,Europe,Germany,Early LBK,Hv-586,6350,70,charcoal,intcal13
50.7,6.55,Muddersheim,Europe,Germany,LBK,H-924b/1121,6330,80,charcoal,intcal13
44.2925,11.8763,Fornace Capuccini di F,Europe,Italy,Cardial,Bln-3372,6320,60,charcoal,intcal13
50.91,7,Koln-Mengenich,Europe,Germany,LBK,KN-I.369,6320,70,charcoal,intcal13
50.8,5.05,Wange,Europe,Belgium,Late LBK,Lv-1116,6310,75,charcoal,intcal13
48.96,21.38,Tiszavasvari-Keresztfa,Europe,Hungary,LBK,Bln-505,6305,100,charcoal,intcal13
42.2,16.91,Marcianese,Europe,Italy,Impressed Ware,BM-2250,6290,60,charcoal,intcal13
48.67,15.63,Frauenhofen,Europe,Austria,Stichbandkeramik,KN-2566,6290,65,Charcoal,intcal13
42.56,8.73,Revellata,Europe,France,Cardial,Ly-6085,6280,75,charcoal,intcal13
42.65,21.15,Pristina,Europe,Yugoslavia,Neolithic,Bln-435,6280,80,charcoal,intcal13
53.31,18.11,Strzelce,Europe,Poland,LBK,GrN-5087,6260,60,charcoal,intcal13
50.8,5.66,Kanne,Europe,Belgium,LBK,Lv-1025,6260,75,charcoal,intcal13
43.71,13.1,Ripabianca di Monterad,Europe,Italy,Fiorano,R-599,6260,85,charcoal,intcal13
43.35,2.7,Grotte de l'Abeurador,Europe,France,Epicardial,MC-2145,6260,90,charcoal,intcal13
47.8,18.73,Sturovo,Europe,Slovakia,LBK,Bln-559,6260,100,charcoal,intcal13
50.16,10.96,Zilgendorf,Europe,Germany,LBK,GrN-7011,6250,65,charcoal,intcal13
50.86,6.33,Niedermerz,Europe,Germany,LBK,KN-2128,6250,70,charcoal,intcal13
50.96,6.55,Rodingen,Europe,Germany,LBK,H-2117/1536,6250,75,charcoal,intcal13
42.3667,13.3667,Arma dell'Aquila,Europe,Italy,Cardial,Bln-3450,6240,90,charcoal,intcal13
45.05,3.85,Les Rivaux,Europe,France,Early Neolithic,Ly-3710,6240,110,charcoal,intcal13
48.88,11.75,Hienheim,Europe,Germany,LBK,GrN-7557,6235,45,charcoal,intcal13
43.28,2.33,Font Juvenal,Europe,France,PeriCardial,Ly-4770,6235,85,charcoal,intcal13
44.06,4.63,Grotte de l'Aigle,Europe,France,Cardial,MC-563,6200,100,charcoal,intcal13
51,5.87,Sittard,Europe,Netherlands,LBK,GrN-423,6200,150,Charcoal,intcal13
51.45,5.4667,"Wychen, Het Vormer",Europe,Netherlands,Hazendonk,GrN-7201,6195,45,Charcoal,intcal13
51.7,10,Northeim-Imbshausen,Europe,Germany,LBK,H-1573/1126,6192,140,Charcoal,intcal13
43.68,7.86,Grotte Lombard,Europe,France,post Epicardial,Ly-3331,6190,120,charcoal,intcal13
45.1333,10.3667,Vhò-Campo Ceresole,Europe,Italy,Early Neolithic,I-11445,6170,110,charcoal,intcal13
51.22,12.32,Zwenkau-Harth,Europe,Germany,LBK,GrN-1581,6160,70,Charcoal,intcal13
50.8333,5.5833,Vlijtingen,Europe,Belgium,Late LBK,Lv-1117,6160,95,charcoal,intcal13
48.33,9.56,Felsdach Lauterach,Europe,Germany,Early LBK,GrN-4750,6140,45,charcoal,intcal13
48.25,9.5833,Lautereck,Europe,Germany,LBK,GrN-4750,6140,45,Charcoal,intcal13
48.88,22.6,Szamossalyi,Europe,Hungary,LBK,Bln-404,6136,100,charcoal,intcal13
37.1833,13.7667,Piano Vento,Europe,Italy,Cardial,A-4474,6130,90,charcoal,intcal13
47.5,16.5,Unterpullendorf,Europe,Austria,Early painted Ware,VRI-42,6130,140,charcoal,intcal13
44.8667,9.5333,"Travo, Case Gazza",Europe,Italy,Early Neolithic,I-13798,6130,160,charcoal,intcal13
43.98,12.86,Grotta del'Orso,Europe,Italy,Fiorano,R-676,6080,50,charcoal,intcal13
47.83,20.5,Bekesszentandras,Europe,Hungary,Late LBK,BM-1860,6080,60,charcoal,intcal13
48.48,20.48,Domica Cave,Europe,Slovakia,Bukk,GrN-2435,6080,75,charcoal,intcal13
44.9,4.63,Baume Bourbon,Europe,France,Neolithic,MC-794,6080,100,charcoal,intcal13
50.66,5.45,Awans,Europe,Belgium,Late LBK,Lv-1160,6070,90,charcoal,intcal13
43.88,3.73,Grotte de l'Abbe Prial,Europe,France,Epicardial,MC-1290,6070,100,charcoal,intcal13
54.4167,17.4,Lupawa,Europe,Poland,TRB_East,Bln-1814,6060,80,Charcoal,intcal13
49.4,0.4333,Kirschnaumen-Evendorff,Europe,France,LBK,Ly-1181,6050,200,Charcoal,intcal13
46.07,11.1,Riparo Gaban,Europe,Italy,Gaban group,Bln-1777,6030,45,charcoal,intcal13
50.61,3.75,Irchonwelz,Europe,Belgium,Blicquy Group,Bln-2531,6030,60,charcoal,intcal13
44.7,8.0333,Alba,Europe,Italy,Cardial,GX-20845,6030,80,charcoal,intcal13
48.62,10.42,Wittislingen,Europe,Germany,LBK,Gro-265,6030,110,Charcoal,intcal13
48.7,15.5667,Poigen,Europe,Austria,LBK,H-2121/1552,6017,90,Charcoal,intcal13
57.62,-3.07,"Boghead Mound, Fochabe",Europe,Great Britain,Neolithic,SRR-690,6006,60,charcoal,intcal13
44.5963,10.7055,Chiozza di Scandiano,Europe,Italy,Early Neolithic,R-458,6000,200,charcoal,intcal13
48.16,2.41,Les Dependances de Dig,Europe,France,Late Villeneuve St Ge,Ly-5668,5990,50,charcoal,intcal13
44,5.05,Ceron,Europe,France,Early Neolithic,Gif-9997,5990,75,charcoal,intcal13
50.1833,11.9167,Hallertau,Europe,Germany,LBK,HAM-197,5990,90,Charcoal,intcal13
45.5,-0.6,Les Gouillauds,Europe,France,Early Neolithic,Gif-4878,5950,120,charcoal,intcal13
44.05,5.15,Unang,Europe,France,Middle Cardial,Gif-1796,5950,130,charcoal,intcal13
47.43,6.45,La Tuilerie,Europe,France,Neolithic,Gif-1561,5950,140,charcoal,intcal13
48.65,7.75,Reichstett,Europe,France,LBK,Ly-865,5940,140,Charcoal,intcal13
51.0667,12.2167,Rehmsdorf,Europe,Germany,LBK,Bln-176,5932,100,Charcoal,intcal13
42.83,3,Port Leucate,Europe,France,Cardial,Gif-2749,5900,140,charcoal,intcal13
50.58,13.9,Zalany,Europe,Czech,Stichbandkeramik,Bln-240,5881,100,Charcoal,intcal13
44.7,28.66,Hamangia-Baia 1,Europe,Romania,Hamangia,GrN-1986,5880,70,charcoal,intcal13
43.95,3.18,Roc Troue,Europe,France,Early Neolithic,Gif-7688,5850,80,charcoal,intcal13
48.58,-4.58,Roc'h Avel,Europe,France,Neolithic,Gif-5510,5800,100,charcoal,intcal13
44.41,2.73,Roquemissou,Europe,France,Early Roucadourian,Ly-4687,5785,105,charcoal,intcal13
51.43,-0.56,Runnymede,Europe,Great Britain,Early Neolithic,OxA-3582,5780,85,charcoal,intcal13
48.41,18.16,Horne Lefantovce,Europe,Slovakia,Bukk/SBK,Bln-304,5775,140,charcoal,intcal13
45.7505,13.675,Grotta del Mitreo,Europe,Italy,Danilo,R-904,5770,60,charcoal,intcal13
47.76,-1.95,Saint just,Europe,France,Early Neolithic,Gif-5763,5770,80,charcoal,intcal13
54.71,-6.85,Ballynagilly,Europe,Ireland,Neolithic,UB-305,5745,90,charcoal,intcal13
54.27,11.05,Siggeneben-Süd,Europe,Germany,TRB_North,KN-2273,5690,60,Charcoal,intcal13
51.37,14.52,Uhyst,Europe,Germany,Stichbandkeramik,Bln-3686,5670,60,Charcoal,intcal13
47.5,16.5,Frankenau,Europe,Austria,LBK,VRI-207,5660,100,charcoal,intcal13
44.33,4.33,Chazelles,Europe,France,Cardial,Lv-365,5660,110,charcoal,intcal13
47.53,-2.9,Petit Mont,Europe,France,Early Neolithic,Gif-6844,5650,70,charcoal,intcal13
54.1333,20.65,Sarnowo,Europe,Poland,TRB_East,GrN-5035,5570,60,Charcoal,intcal13
47.56,7.45,Sierentz,Europe,France,Late LBK,Ly-4498,5570,100,charcoal,intcal13
53.35,13.25,Carpin,Europe,Germany,TRB_North,Bln-4667,5550,51,Charcoal,intcal13
43.98,3.25,Abri des Usclades,Europe,France,Roucadourian,Gif-9143,5550,70,charcoal,intcal13
46.91,5.76,Les Planches,Europe,France,Early Neolithic,Gif-3826,5520,130,charcoal,intcal13
55.54,-5.32,Machrie Moor Site,Europe,Great Britain,Neolithic,GU-2320,5500,70,charcoal,intcal13
53.22,0.13,Giants' Hills,Europe,Great Britain,Neolithic,OxA-641,5450,80,charcoal,intcal13
44.13,5.95,Frigouras,Europe,France,Early Neolithic,Gif-8479,5450,100,charcoal,intcal13
45.7,4.91,Saint Priest,Europe,France,Early Neolithic,Ly-8685,5445,60,charcoal,intcal13
52.22,-0.92,Briar Hill,Europe,Great Britain,Neolithic,HAR-2282,5440,110,charcoal,intcal13
52.46,1.45,Broome Heath,Europe,Great Britain,Neolithic,BM-679,5424,117,charcoal,intcal13
47.2833,8.6167,Feldmeilen-Vorderfeld,Europe,Switzerland,Pfyn,UCLA-1691F,5415,60,Charcoal,intcal13
42.7753,12.5499,Grotta del Pertusello,Europe,Italy,Early Neolithic,R-157,5400,90,charcoal,intcal13
46.43,5.33,Grotte des Teppes,Europe,France,ProtoCortaillod,Gif-8999,5390,50,charcoal,intcal13
55.6667,12.5833,Christiansholm Mose,Europe,Denmark,Neolithic,K-750,5370,100,Charcoal,intcal13
47.05,6.58,Abri des pres Mourey,Europe,France,Early Cortaillod,Gif-9096,5340,70,charcoal,intcal13
47.83,-3.16,Languidic,Europe,France,Neolithic,Gif-5765,5330,80,charcoal,intcal13
48.9833,-0.2333,"Les Longrais, Soumont-",Europe,France,LBK,Ly-150,5290,150,Charcoal,intcal13
53.26,-1.94,Lismore Fields,Europe,Great Britain,Neolithic,OxA-2433,5270,100,charcoal,intcal13
51.5,-0.72,"Cannon Hill, Bray",Europe,Great Britain,Neolithic,HAR-1198,5270,110,charcoal,intcal13
55.97,-3.6,Linlithgow,Europe,Great Britain,Neolithic,GU-1875,5265,55,charcoal,intcal13
54.27,-8.53,Carrowmore,Europe,Ireland,Neolithic,LU-1441,5240,80,charcoal,intcal13
52.16,10.5,Ferriters Cove,Europe,Ireland,Early Neolithic,BM-2227A,5190,110,charcoal,intcal13
42.83,2.91,Abri de la Coma,Europe,France,Cardial,Gif-9080,5180,60,charcoal,intcal13
47.38,4.51,Myard,Europe,France,Cortaillod,Gif-2342,5175,135,charcoal,intcal13
47.4,4.53,"Vitteaux, Oppidum Myar",Europe,France,Cortaillod,Gif-2342,5175,135,Charcoal,intcal13
56.54,-3.44,Inchtuthil,Europe,Great Britain,Neolithic,GU-2760,5160,70,charcoal,intcal13
57.05,-2.44,Balbridie,Europe,Great Britain,Neolithic,GU-1038,5150,60,charcoal,intcal13
55.01,-6.41,"Dooey's Cairn, Ballyma",Europe,Ireland,Neolithic,UB-2030,5150,90,charcoal,intcal13
53.13,-2.7,Beeston Castle,Europe,Great Britain,Neolithic,HAR-6462,5140,90,charcoal,intcal13
47.45,7.23,Mannlefelsen,Europe,France,LBK,Gif-2634,5140,140,charcoal,intcal13
47.45,7.2333,Oberlag,Europe,France,LBK,Gif-2634,5140,140,Charcoal,intcal13
55.51,-5.14,"Monamore, Arran",Europe,Great Britain,Neolithic,Q-675,5110,110,charcoal,intcal13
52.42,-8.62,Tankardstown,Europe,Ireland,Western Neolithic,GrN-14713,5105,45,charcoal,intcal13
54.98,-5.93,"Mad Man's Window, Glen",Europe,Ireland,Neolithic,UB-205,5095,120,charcoal,intcal13
54.56,-0.83,"Street House Farm, Lof",Europe,Great Britain,Neolithic,BM-2061N,5080,60,charcoal,intcal13
56.0333,9.9333,Ringkloster,Europe,Denmark,TRB_North,K-4371,5080,70,Charcoal,intcal13
55.4333,9.9167,Mosegården,Europe,Denmark,TRB_North,K-3463,5080,90,Charcoal,intcal13
42.75,2.56,Les Coudoumines,Europe,France,postCardial,Ly-225,5060,45,charcoal,intcal13
51.68,-1.26,Abingdon,Europe,Great Britain,Neolithic,BM-351,5060,130,charcoal,intcal13
51.87,-3.15,Gwernvale,Europe,Great Britain,Neolithic,CAR-113,5050,75,charcoal,intcal13
52.32,-0.16,Rectory Farm,Europe,Great Britain,Neolithic,OxA-3370,5050,80,charcoal,intcal13
50.93,-1.66,Scord of Brouster,Europe,Great Britain,Neolithic,CAR-253,5050,90,charcoal,intcal13
54.75,-6.82,Carnanbane,Europe,Ireland,Western Neolithic,UB-535,5045,95,charcoal,intcal13
57.61,-3.07,Fochabers  Boghead Mou,Europe,Great Britain,Neolithic,SRR-685,5031,100,charcoal,intcal13
52.1167,7.1,Heek,Europe,Germany,TRB_West,GrN-11762,5030,70,Charcoal,intcal13
54.26,-0.46,"Seamer Moor, East Ayto",Europe,Great Britain,Neolithic,NPL-73,5030,90,charcoal,intcal13
54.16,-0.57,East Heslerton Wold,Europe,Great Britain,Neolithic,HAR-7030,5020,70,charcoal,intcal13
55.73,-6.39,Port Charlotte,Europe,Great Britain,Neolithic,HAR-3487,5020,90,charcoal,intcal13
51.85,-1.56,Ascott-under-Wychwood,Europe,Great Britain,Neolithic,BM-833,5020,92,charcoal,intcal13
55.4,11.5,Lindebjerg,Europe,Denmark,TRB_North,K-1659,5010,100,Charcoal,intcal13
50.22,-5.24,Carn Brea,Europe,Great Britain,Neolithic,BM-825,4999,64,charcoal,intcal13
52.7,-2.36,Spong Hill,Europe,Great Britain,Neolithic,BM-1535,4990,80,charcoal,intcal13
56.43,9.05,Vroue Hede II,Europe,Denmark,TRB_North,K-1570,4980,100,Charcoal,intcal13
56.1167,9.5167,Rustrup I,Europe,Denmark,TRB_North,K-2254,4970,100,Charcoal,intcal13
52.64,-3.16,Sarn-y-Bryn-Calod,Europe,Great Britain,Neolithic,OxA-3997,4960,70,charcoal,intcal13
50.71,-2.43,"Flagstones House, Dorc",Europe,Great Britain,Early Neolithic,HAR-9161,4960,80,charcoal,intcal13
54.46,-7.82,"Tully, Aldergrove Airp",Europe,Ireland,Neolithic,UB-2115,4960,85,charcoal,intcal13
58.38,-3.27,Camster Long Cairn,Europe,Great Britain,Neolithic,GU-1707,4950,80,charcoal,intcal13
52.42,0.41,"Shippea Hill, Peacocks",Europe,Great Britain,Neolithic,Q-527,4950,120,charcoal,intcal13
53.99,-0.73,"Callis Wold, Barrow 27",Europe,Great Britain,Neolithic,BM-1170,4933,64,charcoal,intcal13
52.05,7.65,Gittrup,Europe,Germany,TRB_West,GrN-12262,4920,70,Charcoal,intcal13
56,10.2333,Rude,Europe,Denmark,TRB_North,K-3124,4910,90,Charcoal,intcal13
51.8167,9.8667,"Einbeck, Kühner Höhe",Europe,Germany,TRB_West,Hv-19722,4900,185,Charcoal,intcal13
50.9,-2.2,Hambledon Hill,Europe,Great Britain,Neolithic,HAR-3062,4850,100,charcoal,intcal13
54.12,-0.23,"Boynton, High Easton",Europe,Great Britain,Neolithic,HAR-268,4840,80,charcoal,intcal13
55.29,-1.98,Chatton Sandyford,Europe,Great Britain,Neolithic,GaK-1507,4840,90,charcoal,intcal13
52.02,-4.82,Carreg Coetan,Europe,Great Britain,Neolithic,CAR-392,4830,80,charcoal,intcal13
54.09,-0.38,Kilham,Europe,Great Britain,Neolithic,BM-293,4830,125,charcoal,intcal13
53.5167,18.3667,Gródek Nadbuzny,Europe,Poland,TRB_East,KN-I.243,4820,40,Charcoal,intcal13
56.65,-3.74,Pitnacree,Europe,Great Britain,Neolithic,GaK-601,4810,90,charcoal,intcal13
54.47,-3.14,Great Langdale,Europe,Great Britain,Neolithic,OxA-2181,4790,80,charcoal,intcal13
51.1667,22.5833,Cmielów,Europe,Poland,TRB_East,GrN-5089,4775,40,Charcoal,intcal13
54.25,-5.85,Dundrum Nature Reserve,Europe,Ireland,Neolithic,UB-412,4775,140,charcoal,intcal13
51.42,-1.87,"South Street, Avebury",Europe,Great Britain,Neolithic,BM-356,4760,130,charcoal,intcal13
55.17,8.55,Toftum,Europe,Denmark,TRB_North,K-2988,4730,90,Charcoal,intcal13
56.29,-3.16,"Kinloch Farm, Collessi",Europe,Great Britain,Neolithic,GU-1375,4725,70,charcoal,intcal13
57.04,-6.27,Rhum (Kinloch),Europe,Great Britain,Neolithic,GU-2043,4725,140,charcoal,intcal13
51.42,-1.95,Cherhill,Europe,Great Britain,Neolithic,BM-493,4715,90,charcoal,intcal13
50.94,-0.87,North Marden,Europe,Great Britain,Neolithic,HAR-5544,4710,110,charcoal,intcal13
54.3,-9.4,Ballyglass (Ma.13),Europe,Ireland,Neolithic,SI-1450,4680,95,charcoal,intcal13
54.45,-3.12,Langdale  Pike of Stic,Europe,Great Britain,Neolithic,BM-281,4680,135,charcoal,intcal13
58.01,-4.43,"The Ord North, Lairg",Europe,Great Britain,Neolithic,GU-1169,4665,70,charcoal,intcal13
55.95,11.9,S?lager,Europe,Denmark,TRB_North,K-1724,4650,100,Charcoal,intcal13
51.21,-2.41,Bridgemere,Europe,Great Britain,Neolithic,BM-2565,4630,50,charcoal,intcal13
52.85,6.85,Odoorn,Europe,Netherlands,TRB_West,GrN-13184,4630,60,Charcoal,intcal13
51.7833,9.8833,Odagsen I,Europe,Germany,TRB_West,KiA-6987,4564,26,Charcoal,intcal13
52.41,-0.54,Aldwincle,Europe,Great Britain,Neolithic,HAR-1411,4560,70,charcoal,intcal13
55.85,9.6,Dorthealund N,Europe,Denmark,TRB_North,K-2432,4550,100,Charcoal,intcal13
51.16,0.97,Devil's Kneading Troug,Europe,Great Britain,Neolithic,BM-254,4540,105,charcoal,intcal13
56.5,9.5833,Foulum,Europe,Denmark,TRB_North,K-1601,4540,110,Charcoal,intcal13
52.35,5.6333,"Harderwijk, Beekhuizer",Europe,Netherlands,TRB_West,GrN-7746,4520,70,Charcoal,intcal13
53.6667,8.8167,Flögeln,Europe,Germany,TRB_West,Hv-8450,4500,65,Charcoal,intcal13
52.69,-8.25,Shanballyedmond,Europe,Ireland,Neolithic,GrN-11431,4930,60,charcoal ,intcal13
36.3958,41.7936,Qermez Dere,Near East,Iraq,PPN,OxA-3755,9710,85,charred seeds,intcal13
51.73,0.73,Stumble,Europe,Great Britain,Neolithic,OxA-2298,4780,70,charred seeds,intcal13
50.88,-2.17,Stepleton,Europe,Great Britain,Neolithic,OxA-932,4690,70,charred seeds,intcal13
51.18,9.37,"Gudensberg, Güntersber",Europe,Germany,Neolithic,Hd-17130,6352,29,Collagen,intcal13
47.48,7.62,"Arlesheim, Birseck-Erm",Europe,Switzerland,Neolithic,ETH-9650,6350,80,Collagen,intcal13
52.53,12.22,Zollchow,Europe,Germany,LBK,Bln-4199,6250,50,Collagen,intcal13
48.4667,8.9333,Rottenburg a. N.,Europe,Germany,LBK,ETH-9548,6230,90,Collagen,intcal13
48.5,9.13,Viesenhäuser Hof,Europe,Germany,LBK,Hd-7978,6220,45,Collagen,intcal13
50.6833,1.8667,"Menneville, Derrière l",Europe,France,LBK,Ly-1735,6200,190,Collagen,intcal13
49.4,3.9,"Berry-au-Bac, Croix-Ma",Europe,France,LBK,Ly-2327,6030,130,Collagen,intcal13
52.2333,11.6167,Elbeu,Europe,Germany,Stichbandkeramic,Erl-4092,5969,59,Collagen,intcal13
49.38,3.77,Cuiry-les-Chaudardes,Europe,France,LBK,Ly-2335,5840,140,Collagen,intcal13
48.6833,3.7667,Chichery,Europe,France,LBK,Gif-3354,5600,120,Collagen,intcal13
53.3167,13.8667,Prenzlau,Europe,Germany,LBK,Bln-4221,5520,100,Collagen,intcal13
55.6833,12.5333,Salpetermosen,Europe,Denmark,TRB_North,K-4771,4960,90,Collagen,intcal13
56.0833,12.3667,Ferle Enge,Europe,Denmark,TRB_North,K-6299,4940,95,Collagen,intcal13
56.0667,12.2833,Paarup,Europe,Denmark,TRB_North,K-6297,4920,95,Collagen,intcal13
55.48,11.24,Dragsholm,Europe,Denmark,TRB_North,K-2291,4840,100,Collagen,intcal13
55.6,11.58,Undl?se Mose,Europe,Denmark,TRB_North,K-6300,4760,95,Collagen,intcal13
55.75,12.25,Sigersdal Mose,Europe,Denmark,TRB_North,K-3745,4680,75,Collagen,intcal13
51.57,-1.13,North Stoke,Europe,Great Britain,Neolithic,BM-1405,4672,49,collagen,intcal13
55.1333,10.9167,Lohals,Europe,Denmark,TRB_North,K-2277,4620,100,Collagen,intcal13
55.57,12.13,Snoldelev Mose,Europe,Denmark,TRB_North,K-2778,4600,90,Collagen,intcal13
55.43,11.48,Ulvemose,Europe,Denmark,TRB_North,K-6306,4580,90,Collagen,intcal13
54.7667,11.5167,Borremose,Europe,Denmark,TRB_North,K-5537,4525,90,Collagen,intcal13
53.42,14.58,Szczecin-Ustowo,Europe,Poland,TRB_East,Bln-1807,4510,80,Collagen,intcal13
38,12.33,Lagnano da Piede,Europe,Italy,Early Neolithic,UCLA-2148,6700,100,collagen from,intcal13
51.23,-0.79,Badshot,Europe,Great Britain,Neolithic,BM-2273N1,4780,40,collagen from,intcal13
51.5,-0.66,Eton Wick,Europe,Great Britain,Neolithic,BM-2533,4750,80,collagen from,intcal13
41.5,15.66,Santa Tecchia,Europe,Italy,Early Neolithic,BM-2414,6520,70,"collagen, hum",intcal13
51.66,-1.17,Dorchester Site VIII,Europe,Great Britain,Neolithic,BM-2443,4510,100,collagen/antl,intcal13
41.57,14.64,Monte Maulo,Europe,Italy,Early Neolithic,OxA-651,6540,80,cow radius,intcal13
56.0667,12.29,Maglemose,Europe,Denmark,TRB_North,OxA-1326,4790,70,fiber,intcal13
50.92,-1.37,Shurton Hill,Europe,Great Britain,Neolithic,UB-2122,4750,50,fossil soil,intcal13
44.88,7.48,Abri de Pendimoun,Europe,France,Cardial,Ly-5692,6615,105,GLANDS,intcal13
50.3,8.8,Bruchenbrücken,Europe,Germany,LBK,OxA-1630,6390,100,Grain,intcal13
47.6,16.55,Neckenmarkt,Europe,Austria,LBK,OxA-1536,6210,80,Grain,intcal13
47.88,12.6,Wang,Europe,Germany,LBK,OxA-1538,6190,80,Grain,intcal13
48.75,16.47,Schletz,Europe,Austria,LBK,ETH-13289,6175,65,Grain,intcal13
51.17,12.08,Wahlitz,Europe,Germany,Stichbandkeramik,GrN-433,5300,200,Grain,intcal13
42.0553,14.2095,Fonterossi (Lama dei P,Europe,Italy,Cardial,OxA-1958,6540,80,human,intcal13
51.87,-1.9,Hazleton North,Europe,Great Britain,Neolithic,OxA-910,5000,70,human bone,intcal13
51.45,-1.87,Millbarrow,Europe,Great Britain,Early Neolithic,OxA-3172,4900,110,human bone,intcal13
52.33,-0.59,Redlands Farm,Europe,Great Britain,Early Neolithic,OxA-5632,4825,65,human bone,intcal13
